# Time (s)            n_hot (m**-3)       n_e (m**-3)         T_e (ev)            E_par (V/m)         v_c (v_th0)         tau               
  4.950000000000E-04  8.387173541400E+14  1.455740199119E+20  2.678133401347E+02  6.321390758882E-01  2.396051168513E+00  5.956423041218E+00
  5.000000000000E-04  8.269869993945E+14  1.457191207983E+20  2.593612134973E+02  6.357993532403E-01  2.387427039092E+00  6.042748012830E+00
  5.050000000000E-04  8.149451748277E+14  1.458594647119E+20  2.511861805303E+02  6.394232102242E-01  2.378899257661E+00  6.129072984442E+00
  5.100000000000E-04  8.026227331244E+14  1.459952076048E+20  2.432791570227E+02  6.430110092287E-01  2.370466200918E+00  6.215397956053E+00
  5.150000000000E-04  7.900496170402E+14  1.461265003162E+20  2.356313565792E+02  6.465631090365E-01  2.362126289019E+00  6.301722927665E+00
  5.200000000000E-04  7.772548172070E+14  1.462534887407E+20  2.282342808570E+02  6.500798648608E-01  2.353877984304E+00  6.388047899277E+00
  5.250000000000E-04  7.642663376978E+14  1.463763139893E+20  2.210797101220E+02  6.535616283800E-01  2.345719790087E+00  6.474372870889E+00
  5.300000000000E-04  7.511111683738E+14  1.464951125474E+20  2.141596941151E+02  6.570087477732E-01  2.337650249497E+00  6.560697842501E+00
  5.350000000000E-04  7.378152635684E+14  1.466100164254E+20  2.074665432176E+02  6.604215677555E-01  2.329667944393E+00  6.647022814113E+00
  5.400000000000E-04  7.244035266711E+14  1.467211533063E+20  2.009928199066E+02  6.638004296115E-01  2.321771494318E+00  6.733347785725E+00
  5.450000000000E-04  7.108998001778E+14  1.468286466869E+20  1.947313304901E+02  6.671456712303E-01  2.313959555513E+00  6.819672757336E+00
  5.500000000000E-04  6.973268607828E+14  1.469326160152E+20  1.886751171135E+02  6.704576271389E-01  2.306230819972E+00  6.905997728948E+00
  5.550000000000E-04  6.837064190996E+14  1.470331768236E+20  1.828174500277E+02  6.737366285356E-01  2.298584014546E+00  6.992322700560E+00
  5.600000000000E-04  6.700591236069E+14  1.471304408565E+20  1.771518201110E+02  6.769830033232E-01  2.291017900085E+00  7.078647672172E+00
  5.650000000000E-04  6.564045684356E+14  1.472245161951E+20  1.716719316362E+02  6.801970761420E-01  2.283531270623E+00  7.164972643784E+00
  5.700000000000E-04  6.427613046216E+14  1.473155073773E+20  1.663716952746E+02  6.833791684019E-01  2.276122952595E+00  7.251297615396E+00
  5.750000000000E-04  6.291468544702E+14  1.474035155137E+20  1.612452213293E+02  6.865295983147E-01  2.268791804089E+00  7.337622587008E+00
  5.800000000000E-04  6.155777286927E+14  1.474886384002E+20  1.562868131906E+02  6.896486809262E-01  2.261536714135E+00  7.423947558619E+00
  5.850000000000E-04  6.020694459924E+14  1.475709706265E+20  1.514909610062E+02  6.927367281472E-01  2.254356602018E+00  7.510272530231E+00
  5.900000000000E-04  5.886365547971E+14  1.476506036814E+20  1.468523355578E+02  6.957940487849E-01  2.247250416620E+00  7.596597501843E+00
  5.950000000000E-04  5.752926568507E+14  1.477276260542E+20  1.423657823401E+02  6.988209485740E-01  2.240217135791E+00  7.682922473455E+00
  6.000000000000E-04  5.620504323956E+14  1.478021233334E+20  1.380263158323E+02  7.018177302069E-01  2.233255765743E+00  7.769247445067E+00
  6.050000000000E-04  5.489216666944E+14  1.478741783011E+20  1.338291139583E+02  7.047846933644E-01  2.226365340462E+00  7.855572416679E+00
  6.100000000000E-04  5.359172776576E+14  1.479438710261E+20  1.297695127289E+02  7.077221347452E-01  2.219544921153E+00  7.941897388290E+00
  6.150000000000E-04  5.230473443597E+14  1.480112789518E+20  1.258430010583E+02  7.106303480959E-01  2.212793595687E+00  8.028222359902E+00
  6.200000000000E-04  5.103211362428E+14  1.480764769828E+20  1.220452157518E+02  7.135096242403E-01  2.206110478083E+00  8.114547331514E+00
